"","X1","Site","Subplot","SubplotID","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes","X","group","dbh.class"
"2484",51,"UMBS",420,"D02E",340,"ACRU",8.6,"L","OS",NA,"Cluster",NA,"D","8-13"
"2485",52,"UMBS",420,"D02E",341,"?",10.8,"D","OS",NA,NA,NA,"D","8-13"
"2486",53,"UMBS",420,"D02E",342,"ACRU",11.3,"L","OS",NA,"cluster",NA,"D","8-13"
"2487",54,"UMBS",420,"D02E",343,"QURU",28.7,"M","OD",NA,"cluster, lower branches dead",NA,"D","28-33"
"2488",55,"UMBS",420,"D02E",344,"QURU",29.4,"L","OD",NA,"Cluster",NA,"D","28-33"
"2489",56,"UMBS",420,"D02E",345,"ACRU",10.8,"L","OS",NA,"Veg plot SW",NA,"D","8-13"
"2490",57,"UMBS",420,"D02E",346,"ACRU",9.9,"L","OS",NA,"Veg plot SW",NA,"D","8-13"
"2491",58,"UMBS",420,"D02E",347,"ACRU",10.7,"M","OS",NA,"Veg plot SW, lower branches dead",NA,"D","8-13"
"2492",59,"UMBS",420,"D02E",348,"PIST",20.5,"L","OS",NA,"used top of two lines",NA,"D","18-23"
"2493",60,"UMBS",420,"D02E",349,"QURU",40.6,"M","OD",NA,"cluster",NA,"D","38-43"
"2494",61,"UMBS",420,"D02E",350,"QURU",27.2,"D","UN",NA,"cluster",NA,"D","23-28"
"2495",62,"UMBS",420,"D02E",351,"ACRU",12.8,"L","OS",NA,"Veg plot SW",NA,"D","8-13"
"2496",63,"UMBS",420,"D02E",352,"QURU",47.6,"L","OD",NA,"a little above dbh",NA,"D","43-48"
"2497",64,"UMBS",420,"D02E",353,"ACRU",8.2,"L","OS",NA,"cluster",NA,"D","8-13"
"2498",65,"UMBS",420,"D02E",354,"QURU",34.7,"L","OD",NA,NA,NA,"D","33-38"
"2499",66,"UMBS",420,"D02E",355,"PIST",34.3,"L","OD",NA,NA,NA,"D","33-38"
"2500",67,"UMBS",420,"D02E",356,"QURU",11.2,"D","UN",NA,"in cluster with 0349 and 0350, used higher of two dbh lines",NA,"D","8-13"
"2501",68,"UMBS",420,"D02E",357,"?",20.1,"D","OS",NA,"at an angle",NA,"D","18-23"
"2502",69,"UMBS",420,"D02E",358,"QURU",19.2,"D","OS",NA,"was a cluster",NA,"D","18-23"
"2503",70,"UMBS",420,"D02E",359,"FAGR",9.3,"L","OS",NA,NA,NA,"D","8-13"
"2504",71,"UMBS",420,"D02E",360,"ACRU",8.2,"L","OS",NA,"cluster",NA,"D","8-13"
"2505",72,"UMBS",420,"D02E",361,"ACRU",8.9,"M","OS",NA,"cluster",NA,"D","8-13"
"2506",73,"UMBS",419,"D02E",362,"ACRU",12,"D","UN",NA,"cluster","DONE IN A SEPARATE PLOT, new plot is 362","D","8-13"
"2507",74,"UMBS",419,"D02E",363,"ACRU",8.2,"L","OS",NA,NA,"DONE IN A SEPARATE PLOT, new plot is 419","D","8-13"
"2508",75,"UMBS",419,"D02E",364,"ACRU",15.5,"L","OS",NA,"cluster",NA,"D","13-18"
"2509",76,"UMBS",419,"D02E",365,"ACRU",16.4,"L","OS",NA,"cluster",NA,"D","13-18"
"2510",77,"UMBS",419,"D02E",366,"QURU",25.6,"L","OS",NA,NA,"DONE IN NEW PLOT, new plot is 419","D","23-28"
"2511",78,"UMBS",419,"D02E",367,"POGR",42,"L","OD",NA,NA,NA,"D","38-43"
"2512",79,"UMBS",419,"D02E",368,"QURU",26.9,"L","OD",NA,NA,NA,"D","23-28"
"2513",80,"UMBS",419,"D02E",369,"QURU",32.3,"L","OD",NA,NA,NA,"D","28-33"
