"","Species","Subplot","Tag","Site","dbh","Health_status","Canopy_status","Date","Notes","SubplotID","group","plotID","Latitude","Longitude","component","a","b","se","source","ref","leaf.mass","genus","fate","plot.side"
"103","QURU",311,"839","UMBS",29.4,"L","OD","06/27/2018","","C01W","C","C01",45.562571,-84.7082402,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",6.5718342754541,"Quercus","live","W"
"104","QURU",311,"858","UMBS",27.9,"L","OD","06/27/2018","","C01W","C","C01",45.56239,-84.7081426,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",6.08969235587727,"Quercus","live","W"
"105","QURU",311,"872","UMBS",26.9,"L","OD","06/27/2018","Shared base with 871","C01W","C","C01",45.5623998,-84.7079739,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",5.77471831699361,"Quercus","live","W"
"106","QURU",311,"885","UMBS",26.2,"L","OD","06/27/2018","","C01W","C","C01",45.5625245,-84.7079041,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",5.55737388917147,"Quercus","live","W"
"107","QURU",311,"854","UMBS",26,"L","OD","06/27/2018","Shared base with 855","C01W","C","C01",45.562423,-84.7082128,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",5.49575620189649,"Quercus","live","W"
"108","POGR",311,"838","UMBS",27.8,"L","OD","06/27/2018","","C01W","C","C01",45.5625582,-84.7082038,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",5.20673740163747,"Populus","live","W"
"109","POGR",311,"867","UMBS",27.5,"L","OD","06/27/2018","","C01W","C","C01",45.5623708,-84.70806,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",5.0797886411812,"Populus","live","W"
"110","QURU",311,"835","UMBS",24.6,"L","OD","06/27/2018","Shared base with smaller tree","C01W","C","C01",45.5626118,-84.7081653,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",5.07051203906009,"Quercus","live","W"
"111","QURU",311,"859","UMBS",24.2,"L","OD","06/27/2018","","C01W","C","C01",45.5623991,-84.708147,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",4.95099622138889,"Quercus","live","W"
"112","POGR",311,"866","UMBS",26.2,"L","OD","06/27/2018","","C01W","C","C01",45.5623668,-84.7080873,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",4.54987224034321,"Populus","live","W"
"113","QURU",311,"837","UMBS",22.6,"L","OD","06/27/2018","Tree noted as a little outside the plot","C01W","C","C01",45.5626015,-84.7082138,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",4.48197073345064,"Quercus","live","W"
"114","QURU",311,"820","UMBS",22.5,"L","OS","06/27/2018","","C01W","C","C01",45.562554,-84.7080886,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",4.45314463795882,"Quercus","live","W"
"115","QURU",311,"845","UMBS",22.1,"L","OD","06/27/2018","","C01W","C","C01",45.5624622,-84.7080512,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",4.33842401650759,"Quercus","live","W"
