"","Species","Subplot","Tag","Site","dbh","Health_status","Canopy_status","Date","Notes","SubplotID","group","plotID","Latitude","Longitude","component","a","b","se","source","ref","leaf.mass","genus","sla","leaf.area"
"55","ACRU",212,"1732","UMBS",11,"L","OS","07/04/2018","","B01E","B","B01",45.5567515,-84.7267635,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.49779910572978,"Acer",19,28.4581830088658
"56","ACRU",311,"850","UMBS",13.2,"L","OS","06/27/2018","Shared base with 851","C01W","C","C01",45.5624298,-84.7082339,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.98331951817638,"Acer",19,37.6830708453512
"57","ACRU",242,"2339","UMBS",13.6,"L","OS","07/06/2018","2339 - 2341 share base","B04E","B","B04",45.5563582,-84.72414,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.0766282162083,"Acer",19,39.4559361079578
"58","ACRU",312,"797","UMBS",9,"D","OS","06/26/2018","797-798 share base","C01E","C","C01",45.5625674,-84.7076813,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.09961915460115,"Acer",19,20.8927639374219
"59","ACRU",242,"2246","UMBS",22.6,"L","OS","07/06/2018","2246 - 2247 share base","B04E","B","B04",45.5562428,-84.7240869,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",4.53979067125019,"Acer",19,86.2560227537536
"60","ACRU",242,"2247","UMBS",15.2,"L","OS","07/06/2018","2246 - 2247 share base","B04E","B","B04",45.5562433,-84.7240837,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.46460858677546,"Acer",19,46.8275631487338
"61","ACRU",212,"1724","UMBS",10.5,"L","OS","07/04/2018","1722-1725 share base","B01E","B","B01",45.5567416,-84.7267209,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.39424903435932,"Acer",19,26.4907316528272
"62","ACRU",132,"2504","UMBS",30.1,"L","OD","07/11/2018","2504 - 2506 share base","A03E","A","A03",45.5629766,-84.726679,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",7.0583182306341,"Acer",19,134.108046382048
"63","ACRU",331,"1223","UMBS",21.1,"L","OD","06/28/2018","","C03W","C","C03",45.5629178,-84.7057775,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",4.08417001926444,"Acer",19,77.5992303660243
"64","ACRU",132,"2522","UMBS",35.1,"L","OD","07/11/2018","2522- 2524 share base, taken above DBH","A03E","A","A03",45.5629301,-84.7268306,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",8.94297035606274,"Acer",19,169.916436765192
"65","ACRU",141,"2626","UMBS",34.9,"L","OD","07/12/2018","2624 - 2627 share base","A04W","A","A04",45.5635753,-84.726638,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",8.86461726297217,"Acer",19,168.427727996471
"66","ACRU",233,"2095","UMBS",25.1,"L","OD","7/6/2018","2095 - 2097 share base, in a cluster with 2098 and 2099","B03E","B","B03",45.5561595,-84.7252671,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",5.33588379442526,"Acer",19,101.38179209408
"67","ACRU",233,"2096","UMBS",10,"D","OS","7/6/2018","2095 - 2097 share base, in a cluster with 2098 and 2099","B03E","B","B03",45.556149,-84.7252817,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.29332845218794,"Acer",19,24.5732405915709
"68","ACRU",222,"1895","UMBS",30.6,"L","OD","07/05/2018","1892-1895 share base","B02E","B","B02",45.5557575,-84.7265602,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",7.23968763741519,"Acer",19,137.554065110889
"69","ACRU",222,"1896","UMBS",34.3,"L","OD","07/05/2018","1896-1897 share base","B02E","B","B02",45.5558104,-84.7265706,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",8.631013117877,"Acer",19,163.989249239663
"70","ACRU",212,"1720","UMBS",8.4,"L","OS","07/04/2018","","B01E","B","B01",45.5567189,-84.7267059,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",0.988778312842163,"Acer",19,18.7867879440011
"71","ACRU",241,"2160","UMBS",32.2,"L","OD","07/06/2018","2160-2161 share base","B04W","B","B04",45.556232,-84.7245477,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",7.83081338030316,"Acer",19,148.78545422576
"72","ACRU",212,"1736","UMBS",10.6,"D","UN","07/04/2018","1735-1739 share base","B01E","B","B01",45.5567872,-84.7267101,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.41475052678069,"Acer",19,26.8802600088331
"73","ACRU",222,"1917","UMBS",21.1,"L","OS","07/05/2018","1916-1917 share base","B02E","B","B02",45.5558204,-84.7268017,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",4.08417001926444,"Acer",19,77.5992303660243
"74","ACRU",212,"1738","UMBS",21.3,"L","OS","07/04/2018","1735-1739 share base","B01E","B","B01",45.5567895,-84.7267014,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",4.14393964180378,"Acer",19,78.7348531942718
"75","ACRU",141,"2583","UMBS",34.6,"L","OD","07/12/2018","2583 - 2585 share base","A04W","A","A04",45.5637791,-84.7266086,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",8.7475417500451,"Acer",19,166.203293250857
"76","ACRU",212,"1727","UMBS",25.1,"L","OS","07/04/2018","1726-1727 share base","B01E","B","B01",45.5567549,-84.726724,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",5.33588379442526,"Acer",19,101.38179209408
"77","ACRU",212,"1662","UMBS",22.3,"L","OS","07/04/2018","1661-1662 share base","B01E","B","B01",45.5567988,-84.7264544,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",4.44731939935359,"Acer",19,84.4990685877183
"78","ACRU",211,"1613","UMBS",14.8,"L","OS","07/03/2018","","B01W","B","B01",45.5565897,-84.727117,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.36543965678065,"Acer",19,44.9433534788323
