"","Species","Subplot","Tag","Site","dbh","Health_status","Canopy_status","Date","Notes","SubplotID","group","plotID","Latitude","Longitude","component","a","b","se","source","ref","leaf.mass","genus","sla","leaf.area","fate","plot.side"
"84","QURU",411,"637","UMBS",22.1,"L","OD","06/26/2018","","D01W","D","D01",45.5609598,-84.7071232,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",4.33842401650759,"Quercus",14.2,61.6056210344078,"live","W"
"85","POGR",411,"612","UMBS",20.7,"D","UN","06/26/2018","","D01W","D","D01",45.5608282,-84.70729,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",2.66192797303761,"Populus",15.89,42.2980354915676,"live","W"
"86","PIST",411,"596","UMBS",19.2,"L","OS","06/26/2018","","D01W","D","D01",45.5609374,-84.7075029,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.837187893813905,"Pinus",12.5,10.4648486726738,"live","W"
"87","PIST",411,"592","UMBS",17.9,"L","OS","06/26/2018","","D01W","D","D01",45.5608931,-84.7073543,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.737052738797969,"Pinus",12.5,9.21315923497461,"live","W"
"88","QURU",411,"605","UMBS",17.8,"L","OD","06/26/2018","","D01W","D","D01",45.5607769,-84.7073923,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",3.16666659496072,"Quercus",14.2,44.9666656484422,"live","W"
"89","ACRU",411,"601","UMBS",16.7,"L","OS","06/26/2018","601-603 share base","D01W","D","D01",45.5608423,-84.707439,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.84899834775949,"Acer",19,54.1309686074304,"live","W"
"90","ACRU",411,"602","UMBS",16.6,"L","OS","06/26/2018","601-603 share base","D01W","D","D01",45.5608394,-84.7074464,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.8227686625248,"Acer",19,53.6326045879712,"live","W"
"91","ACRU",411,"634","UMBS",15.7,"L","OS","06/26/2018","","D01W","D","D01",45.5609067,-84.7071346,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.59056382402401,"Acer",19,49.2207126564562,"live","W"
"92","PIST",411,"595","UMBS",15.6,"L","OS","06/26/2018","reading taken below DBH","D01W","D","D01",45.5609582,-84.7074848,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.574079451700732,"Pinus",12.5,7.17599314625915,"live","W"
"93","PIST",411,"610","UMBS",15.4,"L","OS","06/26/2018","","D01W","D","D01",45.5607744,-84.7073108,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.560776436817804,"Pinus",12.5,7.00970546022256,"live","W"
"94","PIST",411,"620","UMBS",14.8,"L","OS","06/26/2018","veg plot","D01W","D","D01",45.5608124,-84.7072207,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.521711180446328,"Pinus",12.5,6.52138975557911,"live","W"
"95","QURU",411,"607","UMBS",14.7,"L","OS","06/26/2018","","D01W","D","D01",45.5607588,-84.7073562,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",2.39710997671561,"Quercus",14.2,34.0389616693616,"live","W"
"96","PIST",411,"626","UMBS",14.1,"L","OS","06/26/2018","","D01W","D","D01",45.5608385,-84.707181,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.477744542627071,"Pinus",12.5,5.97180678283839,"live","W"
"97","PIST",411,"588","UMBS",13.6,"L","OS","06/26/2018","","D01W","D","D01",45.5609069,-84.7073352,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.447409090138174,"Pinus",12.5,5.59261362672718,"live","W"
"98","QURU",411,"599","UMBS",12.6,"D","OS","06/26/2018","598-599 share base","D01W","D","D01",45.5608817,-84.7074726,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",1.91549216768066,"Quercus",14.2,27.1999887810653,"live","W"
"99","ACRU",411,"613","UMBS",12.4,"L","OS","06/26/2018","","D01W","D","D01",45.560765,-84.7072699,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.80126755715205,"Acer",19,34.2240835858889,"live","W"
